Team,Wins,Losses,Goals,Total Yellow Cards,Total Red Cards,Total Scoring Attacks,Scoring On Target Attacks,No. Times Woodwork Hit,Headed Goals,Penalty Goals,Freekick Goals,In The Box Goals,Outside Box Goals,Goals from Counter Attacks,Total Offsides,Clean Sheets,Goals Conceded,Outfielder Blocks,Interceptions,Total Tackles,Last Man Tackles,Total Clearances,Own Goals,Penalties Conceded,Penalty Goals Conceded,Total Passes,Total Long Balls,Total Crosses,Corners Taken,Touches,Clearances Off The Line,Penalty Saves,Total High Claims By Goalkeeper,Total Punches By Goalkeepers,Season
Stoke City,12.0,17.0,38.0,73.0,5.0,364.0,100.0,11.0,14.0,5.0,0.0,35.0,3.0,1.0,65.0,12.0,55.0,169.0,574.0,688.0,11.0,1555.0,2.0,3.0,2.0,9478.0,2171.0,697.0,174.0,18693.0,7.0,0.0,85.0,41.0,2008-2009
Wigan Athletic,12.0,17.0,34.0,59.0,4.0,590.0,163.0,10.0,3.0,5.0,2.0,29.0,5.0,2.0,101.0,13.0,45.0,110.0,685.0,934.0,12.0,1636.0,1.0,3.0,2.0,12319.0,2226.0,943.0,210.0,23071.0,10.0,1.0,38.0,20.0,2008-2009
Bolton Wanderers,11.0,19.0,41.0,62.0,1.0,488.0,154.0,7.0,10.0,0.0,3.0,35.0,6.0,2.0,71.0,7.0,53.0,183.0,555.0,890.0,14.0,1880.0,2.0,7.0,6.0,10649.0,2078.0,853.0,201.0,20876.0,5.0,1.0,42.0,28.0,2008-2009
Blackburn Rovers,10.0,17.0,40.0,74.0,4.0,473.0,148.0,13.0,9.0,4.0,1.0,35.0,5.0,0.0,119.0,10.0,60.0,119.0,557.0,824.0,14.0,1649.0,2.0,6.0,5.0,13436.0,2307.0,865.0,199.0,23450.0,9.0,0.0,48.0,36.0,2008-2009
Portsmouth,10.0,17.0,38.0,58.0,5.0,500.0,152.0,19.0,10.0,2.0,1.0,32.0,6.0,2.0,81.0,8.0,57.0,113.0,653.0,922.0,17.0,1552.0,0.0,7.0,6.0,14497.0,2379.0,852.0,194.0,25414.0,9.0,1.0,79.0,26.0,2008-2009
Sunderland,9.0,20.0,34.0,69.0,1.0,473.0,144.0,10.0,8.0,1.0,1.0,27.0,7.0,4.0,96.0,9.0,54.0,173.0,609.0,888.0,6.0,1596.0,2.0,5.0,3.0,14144.0,2126.0,985.0,172.0,24442.0,4.0,1.0,58.0,27.0,2008-2009
Hull City,8.0,19.0,39.0,71.0,3.0,476.0,149.0,9.0,13.0,3.0,3.0,33.0,6.0,5.0,141.0,6.0,64.0,160.0,624.0,811.0,15.0,1677.0,4.0,3.0,2.0,11809.0,2363.0,930.0,186.0,21712.0,4.0,1.0,56.0,22.0,2008-2009
West Bromwich Albion,8.0,22.0,36.0,67.0,1.0,559.0,165.0,16.0,4.0,3.0,3.0,31.0,5.0,5.0,101.0,8.0,67.0,136.0,591.0,803.0,14.0,1477.0,0.0,4.0,4.0,14518.0,2311.0,962.0,226.0,24904.0,5.0,0.0,60.0,24.0,2008-2009
Middlesbrough,7.0,20.0,28.0,55.0,3.0,498.0,140.0,7.0,1.0,1.0,2.0,25.0,3.0,0.0,121.0,7.0,57.0,144.0,607.0,784.0,23.0,1582.0,6.0,2.0,2.0,13124.0,2130.0,983.0,172.0,23322.0,5.0,0.0,85.0,18.0,2008-2009
Newcastle United,7.0,18.0,40.0,57.0,8.0,444.0,125.0,12.0,10.0,4.0,0.0,38.0,2.0,2.0,73.0,7.0,59.0,142.0,591.0,735.0,22.0,1278.0,2.0,9.0,8.0,14172.0,2300.0,895.0,165.0,24327.0,5.0,1.0,40.0,24.0,2008-2009
